,hidro_level_m1,precip_acumu_sm,hidro_level_sm
2023-03-22 03:00:00,3.4,7.68,6.11
2023-03-22 06:00:00,1.63,0.9,6.1
2023-03-22 09:00:00,0.39,0.0,6.27
2023-03-22 12:00:00,2.17,0.0,6.55
2023-03-22 15:00:00,3.69,0.0,6.93
2023-03-22 18:00:00,2.12,0.0,6.83
2023-03-22 21:00:00,0.4,0.0,6.62
2023-03-23 00:00:00,1.75,1.78,6.71
2023-03-23 03:00:00,3.48,0.0,6.75
2023-03-23 06:00:00,2.21,0.0,6.65
2023-03-23 09:00:00,0.42,0.0,6.64
2023-03-23 12:00:00,1.6,0.0,6.82
2023-03-23 15:00:00,3.61,0.0,6.71
2023-03-23 18:00:00,2.64,0.0,6.6
2023-03-23 21:00:00,0.54,0.06,6.59
2023-03-24 00:00:00,1.19,0.22,6.48
2023-03-24 03:00:00,3.21,0.0,6.34
2023-03-24 06:00:00,2.68,0.0,6.38
2023-03-24 09:00:00,0.69,0.0,6.72
2023-03-24 12:00:00,1.09,0.0,6.94
2023-03-24 15:00:00,3.18,0.0,6.83
2023-03-24 18:00:00,3.01,0.07,6.68
2023-03-24 21:00:00,0.86,0.0,6.62
2023-03-25 00:00:00,0.74,0.0,6.69
2023-03-25 03:00:00,2.75,0.0,6.83
2023-03-25 06:00:00,3.0,0.0,7.09
2023-03-25 09:00:00,1.18,0.0,7.36
2023-03-25 12:00:00,0.84,0.55,7.5
2023-03-25 15:00:00,2.67,0.0,7.34
2023-03-25 18:00:00,3.17,0.0,7.06
2023-03-25 21:00:00,1.33,0.0,6.86
2023-03-26 00:00:00,0.6,0.0,6.73
2023-03-26 03:00:00,2.21,0.0,6.55
2023-03-26 06:00:00,3.05,0.0,6.69
2023-03-26 09:00:00,1.64,0.0,7.09
2023-03-26 12:00:00,0.82,0.0,7.11
2023-03-26 15:00:00,2.19,0.0,6.95
2023-03-26 18:00:00,3.1,0.06,6.78
2023-03-26 21:00:00,1.78,0.48,6.67
2023-03-27 00:00:00,0.67,0.06,6.59
2023-03-27 03:00:00,1.74,2.39,6.69
2023-03-27 06:00:00,2.9,2.1,7.11
2023-03-27 09:00:00,2.07,0.0,7.6
2023-03-27 12:00:00,1.01,0.0,7.79
2023-03-27 15:00:00,1.74,0.0,8.08
2023-03-27 18:00:00,2.87,0.0,8.33
2023-03-27 21:00:00,2.19,0.0,8.32
2023-03-28 00:00:00,0.99,0.0,8.06
2023-03-28 03:00:00,1.42,0.0,7.72
2023-03-28 06:00:00,2.59,0.0,7.49
2023-03-28 09:00:00,2.38,0.0,7.35
2023-03-28 12:00:00,1.33,0.0,7.27
2023-03-28 15:00:00,1.48,0.0,7.17
2023-03-28 18:00:00,2.53,0.0,7.02
2023-03-28 21:00:00,2.4,0.0,6.88
2023-03-29 00:00:00,1.32,0.0,6.76
2023-03-29 03:00:00,1.21,0.0,6.76
2023-03-29 06:00:00,2.22,0.0,7.23
2023-03-29 09:00:00,2.47,0.0,7.6
2023-03-29 12:00:00,1.67,0.0,7.63
2023-03-29 15:00:00,1.39,0.0,7.48
2023-03-29 18:00:00,2.17,0.0,7.24
2023-03-29 21:00:00,2.47,0.0,6.98
2023-03-30 00:00:00,1.71,0.0,6.78
2023-03-30 03:00:00,1.22,0.0,6.68
2023-03-30 06:00:00,1.86,0.0,6.85
2023-03-30 09:00:00,2.45,0.0,7.26
2023-03-30 12:00:00,2.0,0.86,7.31
2023-03-30 15:00:00,1.44,0.0,7.23
2023-03-30 18:00:00,1.79,0.0,7.13
2023-03-30 21:00:00,2.36,6.93,7.02
2023-03-31 00:00:00,2.02,37.0,6.92
2023-03-31 03:00:00,1.32,2.34,7.39
2023-03-31 06:00:00,1.52,0.0,8.13
2023-03-31 09:00:00,2.25,0.0,8.32
2023-03-31 12:00:00,2.25,1.42,8.35
2023-03-31 15:00:00,1.58,0.0,8.39
2023-03-31 18:00:00,1.49,0.0,8.46
2023-03-31 21:00:00,2.16,0.0,8.53
2023-04-01 00:00:00,2.28,0.0,8.47
2023-04-01 03:00:00,1.52,0.0,8.3
2023-04-01 06:00:00,1.24,0.0,8.09
2023-04-01 09:00:00,2.01,0.0,7.92
2023-04-01 12:00:00,2.46,0.0,7.77
2023-04-01 15:00:00,1.79,0.0,7.65
2023-04-01 18:00:00,1.28,0.0,7.5
2023-04-01 21:00:00,1.93,0.0,7.34
2023-04-02 00:00:00,2.47,0.0,7.25
2023-04-02 03:00:00,1.8,1.11,7.3
2023-04-02 06:00:00,1.09,0.0,7.62
2023-04-02 09:00:00,1.81,0.0,8.26
